name	|	uid	|	type	|	uniqname	|	sourceinfo	|	
Nymphoides cambodiana	|	726353	|	synonym	|	Nymphoides cambodiana (synonym for Villarsia cambodiana)	|	gbif:5928998	|	
Ornduffia umbricola	|	458721	|	synonym	|	Ornduffia umbricola (synonym for Villarsia umbricola)	|	gbif:7930478	|	
Villarsia umbricola var. umbricola	|	458721	|	synonym	|	Villarsia umbricola var. umbricola (synonym for Villarsia umbricola)	|	gbif:7930478	|	
Villarsia parnassifolia	|	855868	|	synonym	|	Villarsia parnassifolia (synonym for Villarsia parnassiifolia)	|	ncbi:435387,gbif:7768926	|	
Ornduffia parnassifolia	|	855868	|	synonym	|	Ornduffia parnassifolia (synonym for Villarsia parnassiifolia)	|	gbif:7768926	|	
Villarsia rotundifolia	|	855868	|	homotypic synonym	|	Villarsia rotundifolia (synonym for Villarsia parnassiifolia)	|	gbif:7768926	|	
Renealmia parnassifolia	|	855868	|	synonym	|	Renealmia parnassifolia (synonym for Villarsia parnassiifolia)	|	gbif:7768926	|	
Swertia parnassifolia	|	855868	|	synonym	|	Swertia parnassifolia (synonym for Villarsia parnassiifolia)	|	gbif:7768926	|	
Limnanthemum parnassifolium	|	855868	|	synonym	|	Limnanthemum parnassifolium (synonym for Villarsia parnassiifolia)	|	gbif:7768926	|	
Limnanthemum violifolium	|	177696	|	synonym	|	Limnanthemum violifolium (synonym for Villarsia violifolia)	|	ncbi:507527,gbif:8222642	|	
Renealmia violifolia	|	177696	|	synonym	|	Renealmia violifolia (synonym for Villarsia violifolia)	|	ncbi:507527,gbif:8222642	|	
Liparophyllum violifolium	|	177696	|	synonym	|	Liparophyllum violifolium (synonym for Villarsia violifolia)	|	gbif:8222642	|	
Liparophyllum latifolium	|	458717	|	synonym	|	Liparophyllum latifolium (synonym for Villarsia latifolia)	|	gbif:8261116	|	
Renealmia latifolia	|	458717	|	synonym	|	Renealmia latifolia (synonym for Villarsia latifolia)	|	gbif:8261116	|	
Limnanthemum latifolium	|	458717	|	synonym	|	Limnanthemum latifolium (synonym for Villarsia latifolia)	|	gbif:8261116	|	
Liparophyllum lasiospermum	|	855871	|	synonym	|	Liparophyllum lasiospermum (synonym for Villarsia lasiosperma)	|	gbif:8032401	|	
Renealmia lasiosperma	|	855871	|	synonym	|	Renealmia lasiosperma (synonym for Villarsia lasiosperma)	|	gbif:8032401	|	
Limnanthemum lasiospermum	|	855871	|	synonym	|	Limnanthemum lasiospermum (synonym for Villarsia lasiosperma)	|	gbif:8032401	|	
Ornduffia calthifolia	|	295599	|	synonym	|	Ornduffia calthifolia (synonym for Villarsia calthifolia)	|	gbif:4931203	|	
Renealmia calthifolia	|	295599	|	synonym	|	Renealmia calthifolia (synonym for Villarsia calthifolia)	|	gbif:4931203	|	
Limnanthemum calthifolium	|	295599	|	synonym	|	Limnanthemum calthifolium (synonym for Villarsia calthifolia)	|	gbif:4931203	|	
Villarsia ovata	|	855866	|	synonym	|	Villarsia ovata (synonym for Villarsia capensis)	|	gbif:5592310	|	
Menyanthes ovata	|	855866	|	synonym	|	Menyanthes ovata (synonym for Villarsia capensis)	|	gbif:5592310	|	
Menyanthes capensis	|	855866	|	synonym	|	Menyanthes capensis (synonym for Villarsia capensis)	|	gbif:5592310	|	
Renealmia ovata	|	855866	|	synonym	|	Renealmia ovata (synonym for Villarsia capensis)	|	gbif:5592310	|	
Renealmia capensis	|	855866	|	synonym	|	Renealmia capensis (synonym for Villarsia capensis)	|	gbif:5592310	|	
Ornduffia submersa	|	177694	|	synonym	|	Ornduffia submersa (synonym for Villarsia submersa)	|	gbif:7643509	|	
Ornduffia marchantii	|	458719	|	synonym	|	Ornduffia marchantii (synonym for Villarsia marchantii)	|	gbif:7545107	|	
Liparophyllum capitatum	|	278577	|	synonym	|	Liparophyllum capitatum (synonym for Villarsia capitata)	|	gbif:8347449	|	
Villarsia involucrata	|	278577	|	synonym	|	Villarsia involucrata (synonym for Villarsia capitata)	|	gbif:8347449	|	
Renealmia capitata	|	278577	|	synonym	|	Renealmia capitata (synonym for Villarsia capitata)	|	gbif:8347449	|	
Limnanthemum capitatum	|	278577	|	synonym	|	Limnanthemum capitatum (synonym for Villarsia capitata)	|	gbif:8347449	|	
Liparophyllum congestiflorum	|	458715	|	synonym	|	Liparophyllum congestiflorum (synonym for Villarsia congestiflora)	|	gbif:7598700	|	
Limnanthemum congestiflorum	|	458715	|	synonym	|	Limnanthemum congestiflorum (synonym for Villarsia congestiflora)	|	gbif:7598700	|	
Renealmia congestifolia	|	458715	|	synonym	|	Renealmia congestifolia (synonym for Villarsia congestiflora)	|	gbif:7598700	|	
Renealmia congestiflora	|	458715	|	synonym	|	Renealmia congestiflora (synonym for Villarsia congestiflora)	|	gbif:7598700	|	
Menyanthes trifoliata var. minor	|	1069766	|	synonym	|	Menyanthes trifoliata var. minor (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes paradoxa	|	1069766	|	synonym	|	Menyanthes paradoxa (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes americana	|	1069766	|	synonym	|	Menyanthes americana (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes palustris	|	1069766	|	synonym	|	Menyanthes palustris (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes verna	|	1069766	|	synonym	|	Menyanthes verna (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes trifoliata f. brevistyla	|	1069766	|	synonym	|	Menyanthes trifoliata f. brevistyla (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes tridentata	|	1069766	|	synonym	|	Menyanthes tridentata (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes trifoliata subsp. verna	|	1069766	|	synonym	|	Menyanthes trifoliata subsp. verna (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes latifolia	|	1069766	|	synonym	|	Menyanthes latifolia (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Menyanthes trifolium	|	1069766	|	synonym	|	Menyanthes trifolium (synonym for Menyanthes trifoliata)	|	gbif:5341511	|	
Villarsia geminata	|	387102	|	synonym	|	Villarsia geminata (synonym for Nymphoides geminata)	|	gbif:5592338	|	
Limnanthemum geminatum	|	387102	|	synonym	|	Limnanthemum geminatum (synonym for Nymphoides geminata)	|	gbif:5592338	|	
Limnanthemum geminatum var. geminatum	|	387102	|	synonym	|	Limnanthemum geminatum var. geminatum (synonym for Nymphoides geminata)	|	gbif:5592338	|	
Villarsia sarmentosa	|	387102	|	synonym	|	Villarsia sarmentosa (synonym for Nymphoides geminata)	|	gbif:5592338	|	
Menyanthaceae sp. Jacobs 9376	|	855873	|	includes	|	Menyanthaceae sp. Jacobs 9376 (synonym for Nymphoides montana)	|	ncbi:435381	|	
Menyanthaceae sp. Moody 477	|	855873	|	includes	|	Menyanthaceae sp. Moody 477 (synonym for Nymphoides montana)	|	ncbi:435381	|	
