source_name	source_qid	parity	target_name	target_qid	target_uid	reason	witness	
Lactuca sativa var. crispa	ott:648301	-	Lactuca sativa	ncbi:4236	515700	noinfo	null
Lactuca sativa var. crispa	ott:648301	=>	Lactuca sativa var. crispa	ncbi:466611	648301	same/primary-name	Lactuca sativa var. crispa
Hyoseris lucida	ncbi:268074	=>	Hyoseris lucida	ncbi:268074	518529	new/tip	null
Campanula marchesettii	ncbi:361392	=>	Campanula marchesettii	ncbi:361392	953227	new/tip	null
Campanula marchesettii	ott:953227	=>	Campanula marchesettii	ncbi:361392	953227	same/parent+parent	Campanulaceae|Campanulaceae
Campanula scheuchzeri	ott:953245	-	Campanula marchesettii	ncbi:361392	953227	noinfo	null
Campanula scheuchzeri	ott:953245	=>	Campanula scheuchzeri	ncbi:361399	953245	same/primary-name	Campanula scheuchzeri
Campanula lusitanica	ncbi:239411	=>	Campanula lusitanica	ncbi:239411	219661	new/import	null
Tanacetum chiliophyllum	ncbi:301879	=>	Tanacetum chiliophyllum	ncbi:301879	616324	new/import	null
Picridium	gbif:8057034	=>	Picridium	gbif:8057034	4727714	new/tip	null
Picridium	ott:4727714	-		null	-	continued-hidden	null
Campanula rupicola	ncbi:1241164	=>	Campanula rupicola	ncbi:1241164	309809	new/tip	null
Campanula rupicola	ott:309809	=>	Campanula rupicola	ncbi:1241164	309809	same/parent+parent	Campanulaceae|Campanulaceae
Campanula rupestris	ott:309823	-	Campanula rupicola	ncbi:1241164	309809	noinfo	null
Campanula rupestris	ott:309823	-	Campanula waldsteiniana	ncbi:361407	719196	noinfo	null
Campanula rupestris	ott:309823	=>	Campanula rupestris	ncbi:1241163	309823	same/primary-name	Campanula rupestris
Picris altissima	ncbi:320624	=>	Picris altissima	ncbi:320624	865051	new/tip	null
Picris rhagadioloides	gbif:8245696	-	Picris altissima	ncbi:320624	865051	noinfo	null
Picris rhagadioloides	gbif:8245696	=>	Picris rhagadioloides	ncbi:379641	96838	same/primary-name	Picris rhagadioloides
Picris rhagadioloides	ott:96838	-	Picris altissima	ncbi:320624	865051	noinfo	null
Picris rhagadioloides	ott:96838	=>	Picris rhagadioloides	ncbi:379641	96838	same/primary-name	Picris rhagadioloides
Biotia	gbif:5224255	=>	Biotia	gbif:5224255	4728029	new/tip	null
Biotia	ott:4728029	-		null	-	continued-hidden	null
Jacobaea subalpina	ncbi:189250	=>	Jacobaea subalpina	ncbi:189250	168416	new/tip	null
Cirsium pyrenaicum	ncbi:1338473	=>	Cirsium pyrenaicum	ncbi:1338473	3894697	new/tip	null
Cirsium haussknechtii	ott:3894714	=>	Cirsium pyrenaicum	ncbi:1338473	3894697	lumped	null
Cirsium haussknechtii	ott:3894714	=>	Cirsium pyrenaicum	ncbi:1338473	3894697	lumped	null
Cirsium haussknechtii	ott:3894714	-		null	-	lumped	null
Campanula savalanica	ncbi:428197	=>	Campanula savalanica	ncbi:428197	600586	new/tip	null
Artemisia gmelinii	ncbi:401898	=>	Artemisia gmelinii	ncbi:401898	115033	new/import	null
Legousia pentagonia	ncbi:519294	=>	Legousia pentagonia	ncbi:519294	308014	new/tip	null
Lobelia cardinalis	ncbi:76578	=>	Lobelia cardinalis	ncbi:76578	665771	new/tip	null
Lobelia tupa	ott:149491	-	Lobelia cardinalis	ncbi:76578	665771	noinfo	null
Lobelia tupa	ott:149491	=>	Lobelia tupa	ncbi:104598	149491	same/primary-name	Lobelia tupa
Symphyotrichum ontarionis	ncbi:1503869	=>	Symphyotrichum ontarionis	ncbi:1503869	3898538	new/tip	null
Gaillardia pulchella	ncbi:128738	=>	Gaillardia pulchella	ncbi:128738	1001127	new/import	null
Viguiera	ncbi:73317	=>	Viguiera	ncbi:73317	994312	new/import	null
Rhysolepis	ott:4727937	-	Viguiera	ncbi:73317	994312	noinfo	null
Rhysolepis	ott:4727937	=>	Rhysolepis	gbif:8361808	4727937	same/primary-name	Rhysolepis
Garcilassa	ott:4727709	-	Viguiera	ncbi:73317	994312	noinfo	null
Garcilassa	ott:4727709	=>	Garcilassa	gbif:7982703	4727709	same/primary-name	Garcilassa
Calanticaria	ott:113651	-	Viguiera	ncbi:73317	994312	noinfo/disjoint	|Calanticaria greggii
Calanticaria	ott:113651	=>	Calanticaria	ncbi:191153	113651	same/is-subsumed-by	null
Stuessya	ott:506272	-	Viguiera	ncbi:73317	994312	noinfo/disjoint	|Stuessya apiculata
Stuessya	ott:506272	=>	Stuessya	ncbi:1048898	506272	same/is-subsumed-by	null
Hymenostephium	ott:635352	-	Viguiera	ncbi:73317	994312	noinfo/disjoint	|Hymenostephium uniseriatum
Hymenostephium	ott:635352	=>	Hymenostephium	ncbi:191165	635352	same/is-subsumed-by	null
Bahiopsis	ott:687814	-	Viguiera	ncbi:73317	994312	noinfo/disjoint	|Bahiopsis subincisa
Bahiopsis	ott:687814	=>	Bahiopsis	ncbi:191142	687814	same/is-subsumed-by	null
Viguiera	ott:994312	=>	Viguiera	ncbi:73317	994312	same/parent+parent	Heliantheae|Heliantheae
Trachodes	gbif:8656969	=>	Trachodes	gbif:8656969	4727465	new/tip	null
Trachodes	ott:4727465	-		null	-	continued-hidden	null
Campanula scheuchzeri	ncbi:361399	=>	Campanula scheuchzeri	ncbi:361399	953245	new/tip	null
Campanula marchesettii	gbif:5410225	-	Campanula scheuchzeri	ncbi:361399	953245	noinfo	null
Campanula marchesettii	gbif:5410225	=>	Campanula marchesettii	ncbi:361392	953227	same/primary-name	Campanula marchesettii
Campanula serrata subsp. recta	ott:884305	-	Campanula scheuchzeri	ncbi:361399	953245	noinfo	null
Campanula serrata subsp. recta	ott:884305	=>	Campanula serrata subsp. recta	ncbi:1241175	884305	same/primary-name	Campanula serrata subsp. recta
Podospermum purpureum	ncbi:261615	=>	Podospermum purpureum	ncbi:261615	443529	new/tip	null
Pseudoconyza viscosa	ncbi:313964	=>	Pseudoconyza viscosa	ncbi:313964	622605	new/tip	null
Archiserratula	ncbi:426696	=>	Archiserratula	ncbi:426696	248603	new/import	null
Senecio muirii	ncbi:405123	=>	Senecio muirii	ncbi:405123	76296	new/tip	null
Scaevola tomentosa	ncbi:197992	=>	Scaevola tomentosa	ncbi:197992	665717	new/tip	null
Scaevola tomentosa	ott:665717	=>	Scaevola tomentosa	ncbi:197992	665717	same/parent+parent	Goodeniaceae|Goodeniaceae
Lobelia tomentosa	ott:626117	-	Scaevola tomentosa	ncbi:197992	665717	noinfo/lineage	Campanulaceae|Goodeniaceae
Lobelia tomentosa	ott:626117	=>	Lobelia tomentosa	ncbi:368932	626117	same/parent+parent	Campanulaceae|Campanulaceae
Pseudocodon hirsutus	ncbi:1392598	=>	Pseudocodon hirsutus	ncbi:1392598	5232468	new/tip	null
Codonopsis graminifolia	ott:5232465	-	Pseudocodon hirsutus	ncbi:1392598	5232468	noinfo	null
Codonopsis graminifolia	ott:5232465	-	Codonopsis hongii	ncbi:1678351	9006277	noinfo	null
Codonopsis graminifolia	ott:5232465	=>	Pseudocodon graminifolius	ncbi:1392596	3893806	same/source-id	null
Codonopsis graminifolia	ott:5232465	-		null	-	lumped	null
Nephrotheca	ncbi:1641145	=>	Nephrotheca	ncbi:1641145	4727933	new/import	null
Gibbaria	gbif:3121995	-	Nephrotheca	ncbi:1641145	4727933	noinfo	null
Gibbaria	gbif:3121995	=>	Gibbaria	ncbi:378868	617366	same/primary-name	Gibbaria
Nephrotheca	ott:4727933	-		null	-	not-deprecated/exposed	null
Campanula immodesta	ncbi:1796126	=>	Campanula immodesta	ncbi:1796126	3893240	new/tip	null
Campanula cochleariifolia	gbif:5410194	-	Campanula immodesta	ncbi:1796126	3893240	noinfo	null
Campanula cochleariifolia	gbif:5410194	=>	Campanula cochleariifolia	ncbi:428162	283610	same/primary-name	Campanula cochleariifolia
Frolovia	ncbi:258782	=>	Frolovia	ncbi:258782	947020	new/import	null
Dolomiaea	gbif:3086710	-	Frolovia	ncbi:258782	947020	noinfo	null
