id	size	name	sourceinfo	reason	witness	replacement	status
3894704	1	Cirsium ciliatum	gbif:3112734	id-retired/name-retired		*		
3894706	1	Cirsium balkharicum	gbif:3113586	id-retired/name-retired		*		
3894707	1	Cirsium karduchorum	gbif:3112608	id-retired/name-retired		*		
3894700	1	Cirsium pseudobracteosum	gbif:3113733	id-retired/name-retired		*		
3894723	1	Cirsium caucasicum	gbif:3113723	id-retired/name-retired		*		
3894725	1	Cirsium euxinum	gbif:3112573	id-retired/name-retired		*		
3894727	1	Cirsium fominii	gbif:3112571	id-retired/name-retired		*		
3894728	1	Cirsium imereticum	gbif:3113548	id-retired/name-retired		*		
3894729	1	Cirsium aytatchii	gbif:6076657	id-retired/name-retired		*		
3894720	1	Cirsium odontolepis	gbif:3113729	id-retired/name-retired		*		
3894721	1	Cirsium chrysacanthum	gbif:3113368	id-retired/name-retired		*		
3894722	1	Cirsium glabrum	gbif:3113722	id-retired/name-retired		*		
3894709	1	Cirsium maroccanum	gbif:3113145	id-retired/name-retired		*		
3894712	1	Cirsium latifolium	gbif:3112721	id-retired/name-retired		*		
3894713	1	Cirsium appendiculatum	gbif:3112726	id-retired/name-retired		*		
3894714	1	Cirsium haussknechtii	gbif:3112727	lumped		3894697		
3894715	1	Cirsium brachycephalum	gbif:3113465	id-retired/name-retired		*		
3894716	1	Cirsium parryi	gbif:3112578	id-retired/name-retired		*		
3894717	1	Cirsium crassum	gbif:3113688	id-retired/name-retired		*		
3894718	1	Cirsium grahamii	gbif:3112858	id-retired/name-retired		*		
3894719	1	Cirsium sipyleum	gbif:3113624	id-retired/name-retired		*		
3894710	1	Cirsium byzantinum	gbif:4224114	id-retired/name-retired		*		
260097	1	Cyathocline purpurea	ncbi:1204776	newly-hidden[incertae_sedis_inherited]	Cyathocline	=		
371826	2	Lonas	ncbi:99075,gbif:3110809	newly-hidden[incertae_sedis]	Lonas	=		
371821	1	Lonas annua	ncbi:99076,gbif:3110810	newly-hidden[incertae_sedis_inherited]	Lonas	=		
3893484	1	Cyanea holophyllum	gbif:5708951	id-retired/name-retired		*		
3894780	1	Jurinea elegans	gbif:5392580	id-retired/name-retired		*		
3894789	1	Jurinea bulgarica	gbif:5392408	id-retired/name-retired		*		
3894781	1	Jurinea subhastata	gbif:5392585	id-retired/name-retired		*		
3894782	1	Jurinea annae	gbif:5392454	id-retired/name-retired		*		
3893451	1	Isotoma rivalis	gbif:5412368	lumped		888137		
3894783	2	Jurinea levieri	gbif:5392468	id-retired/name-retired		*		
3894784	1	Jurinea roegneri	gbif:5392435	id-retired/name-retired		*		
3894785	1	Jurinea bellidioides	gbif:5392500	id-retired/name-retired		*		
3894786	1	Jurinea pumila	gbif:5392502	id-retired/name-retired		*		
3894778	1	Jurinea ruprechtii	gbif:5392493	id-retired/name-retired		*		
3894779	1	Jurinea prokhanovii	gbif:5392549	id-retired/name-retired		*		
3894770	1	Cirsium stojanovii	gbif:6076683	id-retired/name-retired		*		
3894771	1	Cirsium turneri	gbif:3113147	id-retired/name-retired		*		
3894772	1	Cirsium cassium	gbif:3113728	id-retired/name-retired		*		
3894773	1	Jurinea arachnoidea	gbif:5392464	id-retired/name-retired		*		
3894775	1	Jurinea dobrogensis	gbif:5392494	id-retired/name-retired		*		
3894776	1	Jurinea polyclonos	gbif:5392439	id-retired/name-retired		*		
3894777	1	Jurinea mollissima	gbif:5392660	id-retired/name-retired		*		
3894790	2	Jurinea spectabilis	gbif:5392596	id-retired/name-retired		*		
3894792	1	Jurinea polycephala	gbif:5392521	id-retired/name-retired		*		
3894793	1	Jurinea kirghisorum	gbif:5392449	id-retired/name-retired		*		
3894794	1	Jurinea neicevii	gbif:5392604	id-retired/name-retired		*		
3894795	1	Jurinea blanda	gbif:5392443	id-retired/name-retired		*		
3894796	1	Jurinea cartaliniana	gbif:5392575	id-retired/name-retired		*		
3894797	1	Jurinea filicifolia	gbif:5392571	id-retired/name-retired		*		
3894798	1	Jurinea tzar-ferdinandi	gbif:5694431	id-retired/name-retired		*		
3894799	1	Jurinea pseudoiljinii	gbif:5392573	id-retired/name-retired		*		
969721	1	Lasiospora latifolia	ncbi:261608	lumped		129206		
932456	1	Psiadia laurifolia	ncbi:1225836	newly-hidden[incertae_sedis_inherited]	Psiadia	=		
608332	1	Gnaphalium hypoleucum	ncbi:415154	lumped		259770		
969733	3	Lasiospora	ncbi:261606,gbif:6063344	newly-hidden[barren]	Lasiospora	=		
969732	1	Lasiospora hirsuta	ncbi:261607	lumped		378659		
1086845	1	Hyalea pulchella	ncbi:145815,gbif:3129035	lumped		528730		
3894801	1	Jurinea squarrosa	gbif:5392656	id-retired/name-retired		*		
3894802	1	Jurinea akinfievii	gbif:5392555	id-retired/name-retired		*		
3894803	1	Jurinea praetermissa	gbif:5392610	id-retired/name-retired		*		
3894804	1	Jurinea galushkoi	gbif:5392655	id-retired/name-retired		*		
3894805	1	Jurinea brachypappa	gbif:5392561	id-retired/name-retired		*		
3894806	1	Jurinea creticola	gbif:5392402	id-retired/name-retired		*		
3894807	1	Jurinea longifolia	gbif:5392567	id-retired/name-retired		*		
765707	1	Atractylodes ovata	ncbi:69407	lumped		194037		
765703	2	Atractylodes lancea	ncbi:69406	lumped		194037		
250761	2	Grangea	ncbi:72939,gbif:3130163	newly-hidden[incertae_sedis]	Grangea	=		
3895956	1	Taraxacum pravum	gbif:5696169	id-retired/name-retired		*		
3894625	1	Cirsium ukranicum	gbif:3113574	id-retired/name-retired		*		
3895955	1	Taraxacum madidum	gbif:5697166	id-retired/name-retired		*		
3894626	1	Cirsium libanoticum	gbif:3112665	id-retired/name-retired		*		
3895958	1	Taraxacum princeps	gbif:5696161	id-retired/name-retired		*		
3894627	3	Cirsium esculentum	gbif:3112795	id-retired/name-retired		*		
3895957	1	Taraxacum poecilostictum	gbif:5696281	id-retired/name-retired		*		
3894628	1	Cirsium pseudopersonata	gbif:3113577	id-retired/name-retired		*		
3894629	1	Cirsium hypopsilum	gbif:3112763	id-retired/name-retired		*		
3895959	1	Taraxacum podlechianum	gbif:5696283	id-retired/name-retired		*		
3895950	1	Taraxacum sublongisquameum	gbif:5695030	id-retired/name-retired		*		
3894620	1	Cirsium heldreichii	gbif:3113111	id-retired/name-retired		*		
3895952	1	Taraxacum sublimiforme	gbif:5695034	id-retired/name-retired		*		
3894621	1	Cirsium pubigerum	gbif:3113119	id-retired/name-retired		*		
3895951	1	Taraxacum haematicum	gbif:5394157	id-retired/name-retired		*		
3894622	1	Cirsium candelabrum	gbif:3112741	id-retired/name-retired		*		
3895954	1	Taraxacum argutum	gbif:5699209	id-retired/name-retired		*		
3894623	1	Cirsium brevifolium	gbif:3113356	id-retired/name-retired		*		
3895945	1	Taraxacum capricum	gbif:5698851	id-retired/name-retired		*		
3894614	1	Lappa major major	gbif:7336650	id-retired/name-retired		*		
3895944	1	Taraxacum sublime	gbif:5695038	id-retired/name-retired		*		
3894615	1	Arctium mixtum	gbif:5393120	id-retired/name-retired		*		
3895947	1	Taraxacum capillosum	gbif:5698855	id-retired/name-retired		*		
3894616	1	Arctium nothum	gbif:5393084	id-retired/name-retired		*		
3895946	1	Taraxacum vepallidum	gbif:5394367	id-retired/name-retired		*		
3894617	1	Arctium atlanticum	gbif:5393118	id-retired/name-retired		*		
3895949	1	Taraxacum capnocarpum	gbif:5698852	id-retired/name-retired		*		
3894618	1	Cirsium schelkownikowii	gbif:3113116	id-retired/name-retired		*		
3895948	1	Taraxacum neolobulatum	gbif:5394368	id-retired/name-retired		*		
3894619	1	Cirsium vinaceum	gbif:3113117	id-retired/name-retired		*		
3895941	1	Taraxacum turgidum	gbif:5694755	id-retired/name-retired		*		
3894610	1	Amphoricarpos praedictus	gbif:3090711	id-retired/name-retired		*		
3895940	1	Taraxacum turfosiforme	gbif:5694756	id-retired/name-retired		*		
3895943	1	Taraxacum carinthiacum	gbif:5394365	id-retired/name-retired		*		
3895942	1	Taraxacum amphorifrons	gbif:6082601	id-retired/name-retired		*		
